"","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"153",31,"Male","United States","CA","No","Yes","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","Yes","Don't know","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"154",24,"Male","United States","VA","No","No","No","Sometimes","44372","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"155",42,"Male","United States","WA","No","No","No","Never","44372","Yes","Yes","No","Yes","No","Yes","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"156",27,"Female","United States","TX","No","No","Yes","Rarely","44372","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","Maybe","Yes","No","No","Maybe","Don't know","No"
"157",30,"Male","United States","FL","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Yes","Don't know","No","No","Yes","Yes","Maybe","No","Yes","No"
"158",32,"Male","United States","NV","No","No","No","NA","44372","No","Yes","No","Yes","No","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"159",41,"Male","United States","AL","No","No","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Don't know","No","Don't know","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No"
"160",37,"Female","United States","CA","No","Yes","Yes","Often","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Yes","Don't know","No"
"161",32,"Male","United States","CO","No","No","No","Never","44372","Yes","Yes","No","No","No","No","Don't know","Very easy","No","No","Yes","Yes","No","No","Don't know","No"
"162",23,"Female","United States","MN","No","Yes","Yes","Never","100-500","No","No","Yes","No","Don't know","Don't know","Yes","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"163",30,"Male","United States","NJ","No","No","No","NA","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Yes","No"
"164",38,"Male","United States","PA","No","No","Yes","Rarely","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"165",34,"Male","United States","MO","No","No","No","NA","26-100","No","No","Yes","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"166",28,"Male","United States","MN","No","No","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Don't know","Don't know","Very easy","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"167",23,"Male","United States","PA","No","Yes","No","Sometimes","100-500","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No"
"168",18,"Male","United States","TX","No","No","Yes","Sometimes","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","2","No","No","No","Maybe","Don't know","No"
"169",35,"Male","United States","NY","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Yes","No","No","Some of them","No","Maybe","Don't know","No"
"170",26,"Female","United States","WA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"171",18,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","No","2","Some of them","Some of them","No","Maybe","Yes","No"
"172",38,"Female","United States","TX","No","No","Yes","Sometimes","44201","No","Yes","No","Yes","No","No","Don't know","Don't know","No","Maybe","Some of them","No","No","No","Don't know","Yes"
"173",26,"Female","United States","TX","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No"
"174",35,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"175",45,"Male","United States","NY","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"176",32,"Male","United States","CA","No","No","No","Never","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"177",56,"Male","United States","NA","No","No","Yes","Never","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Maybe","Yes","Some of them","No","Maybe","Don't know","No"
"178",24,"Female","United States","CA","No","No","No","NA","500-1000","No","Yes","not sure","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"179",30,"Female","United States","SC","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Don't know","Don't know","Very easy","No","No","Yes","Yes","No","Yes","Yes","No"
"180",60,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"181",33,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"182",37,"Male","United States","NY","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"183",23,"Female","United States","NY","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Yes","No"
"184",31,"Female","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"185",26,"Male","United States","MA","No","No","No","Rarely","100-500","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"186",28,"Female","United States","WA","No","Yes","Yes","Often","100-500","Yes","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","No","Some of them","Yes","No","No","Yes","No"
"187",37,"Female","United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"188",30,"Female","United States","IL","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"189",25,"Male","United States","OR","No","No","No","NA","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"190",26,"Male","United States","IN","No","No","No","NA","26-100","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"191",27,"Male","United States","TN","No","No","No","Sometimes","100-500","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"192",35,"Male","United States","OR","No","No","Yes","Rarely","100-500","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"193",36,"Male","United States","WA","Yes","No","Yes","Never","44201","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Yes","No"
"194",26,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","No","No","No"
"195",27,"Male","United States","CA","No","Yes","No","NA","More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"196",30,"Male","United States","VT","No","No","No","NA","44372","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"197",29,"Male","United States","NY","No","No","No","NA","100-500","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"198",25,"Male","United States","UT","No","No","No","Never","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"199",22,"Female","United States","NY","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","No","Some of them","No","No","Yes","Yes"
"200",41,"Male","United States","SD","No","Yes","Yes","Rarely","100-500","Yes","Yes","Yes","Yes","Don't know","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"201",29,"Male","United States","CA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","No"
"202",32,"Male","United States","OR","No","No","No","Never","500-1000","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"203",24,"Female","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"204",25,"Male","United States","CA","No","No","Yes","Rarely","44372","No","Yes","Yes","No","Don't know","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"205",25,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","Don't know","No"
"206",30,"Female","United States","CO","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"207",25,"Male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Yes","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No"
"208",30,"Male","United States","OH","Yes","No","No","Never","44201","Yes","Yes","No","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","No"
"209",24,"Male","United States","WA","No","No","No","NA","26-100","No","Yes","Yes","Not sure","Yes","Yes","Yes","Very easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"210",31,"Male","United States","OH","No","No","No","NA","100-500","No","No","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","No","No","No","Yes","No","No"
"211",46,"Male","United States","WA","No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"212",29,"Female","United States","CA","Yes","No","No","Sometimes","More than 1000","No","Yes","Yes","Not sure","Don't know","No","Don't know","Very easy","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"213",24,"Male","United States","MA","No","No","No","NA","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Yes","Don't know","Yes","No","No","No","No","Maybe","Don't know","No"
"214",29,"Male","United States","WA","No","No","No","NA","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"215",35,"Male","United States","MI","No","No","No","NA","26-100","No","No","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","No","No"
"216",33,"Female","United States","WA","No","Yes","No","Sometimes","26-100","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","Some of them","No","Maybe","No","No"
"217",27,"Male","United States","CA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Very easy","Yes","No","No","No","No","Maybe","No","No"
"218",36,"Male","United States","IA","No","No","No","NA","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"219",25,"Female","United States","WA","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"220",23,"Male","United States","AL","No","Yes","Yes","Sometimes","100-500","No","No","Don't know","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"221",54,"Male","United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Don't know","No","Yes","Yes","Don't know","Don't know","No","No","No","Yes","No","No","Don't know","No"
"222",22,"Male","United States","CA","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"223",25,"Trans","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Yes","No"
"224",27,"Male","United States","MA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","No","No","No","Yes","Yes","No"
"225",26,"Male","United States","CA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"226",31,"Male","United States","CA","No","No","Yes","Sometimes","500-1000","No","No","No","Yes","No","Don't know","Yes","Don't know","No","No","Some of them","No","No","No","No","No"
"227",33,"Male","United States","IN","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"228",34,"Male","United States","WA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Don't know","Yes","Yes","Don't know","Maybe","Maybe","No","No","No","No","Don't know","No"
"229",34,"Male","United States","WA","No","No","Yes","Sometimes","100-500","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","Some of them","No","Maybe","Don't know","No"
"230",29,"Male","United States","IN","Yes","No","No","NA","44201","Yes","Yes","No","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"231",33,"Female","United States","WA","No","No","No","NA","44372","No","Yes","No","No","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"232",26,"Male","United States","OK","Yes","Yes","Yes","Rarely","100-500","Yes","No","No","No","No","Don't know","No","Don't know","Maybe","No","Some of them","Yes","No","Yes","No","No"
"233",32,"Male","United States","MI","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Yes","Yes","No"
"234",NA,"Male","United States","OH","No","No","Yes","Often","44372","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","No","No"
"235",28,"Male","United States","GA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","Maybe","Maybe","No","No","No","No","No","No"
"236",35,"Male","United States","CA","No","Yes","No","NA","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"237",36,"Male","United States","NA","No","Yes","Yes","Often","100-500","No","Yes","No","Yes","No","No","Yes","Very easy","No","No","Some of them","Some of them","No","No","Don't know","No"
"238",21,"Male","United States","IN","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","No","No","Don't know","Yes","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"239",22,"Female","United States","WA","No","No","No","NA","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat easy","No","No","No","Some of them","No","No","Yes","No"
"240",41,"Male","United States","WA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","No","Yes","Yes","Don't know","Somewhat difficult","Maybe","No","Yes","Some of them","No","Maybe","No","Yes"
"241",55,"Male","United States","PA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","No","No","Yes","No"
"242",32,"Female","United States","WA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"243",21,"Female","United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","Don't know","No","Don't know","Somewhat easy","Yes","No","Some of them","No","No","Yes","Don't know","No"
"244",45,"Male","United States","MA","No","No","Yes","Never","26-100","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"245",27,"Female","United States","WA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Yes","Don't know","Yes","Maybe","No","No","No","No","No","No"
"246",25,"Female","United States","WA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Yes","No"
"247",34,"Female","United States","NY","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very difficult","Maybe","Maybe","Some of them","Some of them","No","No","Yes","No"
"248",26,"Female","United States","CA","No","Yes","Yes","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"249",27,"Male","United States","CA","No","No","Yes","Rarely","More than 1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No"
"250",31,"Male","United States","IN","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"251",26,"Male","United States","NV","No","No","Yes","Sometimes","44372","No","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","No","No"
"252",27,"Female","United States","CO","No","Yes","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","Maybe","No","Yes","No","No","Don't know","No"
"253",29,"Trans","United States","CA","Yes","Yes","Yes","Sometimes","44201","Yes","Yes","Yes","Yes","No","No","Don't know","Very difficult","Yes","No","Some of them","No","No","Maybe","No","No"
"254",25,"Female","United States","CA","No","No","Yes","Sometimes","44372","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"255",40,"Female","United States","PA","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","No","Don't know","Don't know","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Don't know","No"
"256",31,"Male","United States","SC","No","No","No","Never","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","Don't know","No"
"257",24,"Female","United States","TX","No","Yes","No","NA","500-1000","No","No","No","No","No","No","No","Very difficult","Yes","Maybe","No","No","No","Maybe","No","Yes"
"258",29,"Male","United States","TX","No","No","No","Never","More than 1000","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"259",32,"Female","United States","AL","No","No","No","Never","100-500","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"260",26,"Male","United States","OR","No","Yes","Yes","Often","44372","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","No","No"
"261",28,"Male","United States","NJ","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No"
"262",23,"Male","United States","CA","No","No","No","NA","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","No","No"
"263",35,"Male","United States","CA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Very difficult","Maybe","Maybe","Some of them","Some of them","No","Maybe","No","Yes"
"264",26,"Male","United States","CA","No","Yes","No","NA","44372","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"265",33,"Male","United States","NH","No","Yes","Yes","Never","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Yes","Some of them","No","No","Yes","No"
"266",33,"Male","United States","CA","No","No","No","NA","More than 1000","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Yes","No"
"267",33,"Male","United States","OH","No","Yes","Yes","Often","More than 1000","Yes","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","Yes","No","No","No","No","No","No","No"
"268",31,"Female","United States","OH","No","Yes","Yes","Rarely","More than 1000","No","No","Don't know","Not sure","No","Don't know","Don't know","Very difficult","Yes","Maybe","No","No","No","Maybe","No","No"
"269",21,"Male","United States","MA","No","Yes","No","Never","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"270",26,"Female","United States","OK","No","No","Yes","Sometimes","100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat difficult","No","No","Some of them","Some of them","No","No","Yes","No"
"271",30,"Male","United States","CA","No","Yes","No","Often","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"272",55,"Male","United States","ID","No","Yes","Yes","Sometimes","44201","Yes","Yes","No","Yes","No","Don't know","Don't know","Don't know","Yes","Maybe","No","No","No","No","No","Yes"
"273",28,"Female","United States","NY","No","No","Yes","Rarely","More than 1000","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"274",21,"Male","United States","CA","No","No","No","Sometimes","44372","No","No","Don't know","Not sure","No","Yes","Yes","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Yes","No"
"275",24,"Male","United States","TX","No","Yes","Yes","Sometimes","100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","N","Some of them","Some of them","No","Maybe","No","Yes"
"276",26,"Female","United States","MD","No","No","No","NA","More than 1000","No","No","Yes","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"277",23,"Male","United States","IN","No","No","No","NA","More than 1000","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Yes","No","No","Yes","Don't know","No"
"278",24,"Female","United States","OR","No","No","No","NA","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","N","Some of them","Some of them","Yes","Yes","Yes","No"
"279",24,"Female","United States","NY","No","Yes","Yes","Rarely","44372","No","Yes","No","No","No","No","Don't know","Very easy","Yes","N","No","Some of them","No","Yes","Yes","No"
"280",33,"Male","United States","MS","Yes","No","Yes","Often","44201","Yes","Yes","No","No","No","No","Yes","Somewhat easy","Yes","Maybe","Some of them","Some of them","Yes","Yes","Don't know","No"
"281",34,"Male","United States","NJ","No","No","No","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","Maybe","No","Yes","Yes","No","Maybe","Don't know","No"
"282",27,"Female","United States","CA","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"283",28,"Male","United States","TN","No","No","No","Never","44372","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"284",26,"Male","United States","WA","No","No","No","NA","More than 1000","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","Yes"
"285",23,"Female","United States","MA","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"286",29,"Male","United States","PA","No","Yes","Yes","Rarely","44201","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"287",36,"Male","United States","KY","No","No","No","Rarely","More than 1000","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Somewhat easy","Maybe","No","No","No","No","No","Don't know","No"
"288",41,"Male","United States","PA","No","No","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Maybe","No","Some of them","Yes","Maybe","Yes","Yes","Yes"
"289",33,"Female","United States","MA","No","No","No","NA","100-500","Yes","Yes","Yes","No","Don't know","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Yes","No"
"290",39,"Male","United States","CA","No","Yes","No","Often","More than 1000","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","No","Yes"
"291",34,"Male","United States","VT","No","Yes","No","NA","More than 1000","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Don't know","Yes"
"292",26,"Female","United States","CA","No","No","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Maybe","Some of them","Some of them","No","No","No","Yes"
"293",24,"Male","United States","AZ","No","No","Yes","Rarely","26-100","No","Yes","Yes","Yes","Yes","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"294",43,"Male","United States","MA","Yes","Yes","Yes","Often","44372","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"295",40,"Trans","United States","VA","No","Yes","No","Never","More than 1000","No","Yes","Yes","Yes","Yes","Don't know","Yes","Don't know","Yes","Maybe","No","Some of them","No","Maybe","Yes","No"
"296",30,"Male","United States","WA","No","Yes","Yes","Often","More than 1000","No","Yes","Yes","Yes","Yes","No","Don't know","Very difficult","Yes","No","Some of them","No","No","No","No","Yes"
"297",27,"Male","United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Yes","No","No","No","No","Yes","Don't know","No"
"298",34,"Male","United States","CA","No","No","Yes","Sometimes","44372","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","No","No","Don't know","No"
"299",36,"Male","United States","MI","No","No","No","Sometimes","More than 1000","No","Yes","Don't know","No","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"300",37,"Male","United States","OR","No","No","No","NA","500-1000","No","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","No","Don't know","No"
"301",33,"Female","United States","CA","No","No","No","Never","500-1000","No","Yes","Yes","Not sure","Yes","Yes","Don't know","Very easy","Maybe","No","Some of them","Yes","No","No","Yes","No"
"302",28,"Male","United States","UT","No","No","No","Sometimes","44372","Yes","Yes","No","Yes","No","No","Don't know","Somewhat easy","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"303",26,"Female","United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Maybe","Maybe","Some of them","No","No","Maybe","No","No"
"304",27,"Male","United States","TX","No","Yes","Yes","Sometimes","44372","Yes","Yes","Don't know","No","Yes","Don't know","Don't know","Somewhat easy","Yes","No","Some of them","Yes","No","Maybe","Yes","No"
"305",57,"Male","United States","CA","No","Yes","Yes","Rarely","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
